,Genre,Energy,RMSE,ZCR,CQT,Spectral_Contrast,Chromagram,Tempo,MFCCS0,MFCCS1,MFCCS2,MFCCS3,MFCCS4,MFCCS5,MFCCS6,MFCCS7,MFCCS8,MFCCS9,MFCCS10,MFCCS11,MFCCS12,MFCCS13,MFCCS14,MFCCS15,MFCCS16,MFCCS17
18,Blues,4.765272480168085,0.07773098349571228,37202.0,(-0.0005783333431163527-0.0011483709492878913j),21.723589550557097,0.2472230174183505,83.35433467741936,-252,104,15,42,6,21,-1,5,-16,12,-1,1,0,7,2,1,1,3
19,Blues,6.199308485546482,0.09372318536043167,39029.0,(0.00014686112226563203+0.0005407277140723411j),21.486266356019396,0.26122086690895874,123.046875,-236,138,-4,47,5,8,0,-3,-14,10,0,0,1,4,0,-6,-5,-1
20,Blues,4.19632164432472,0.07234034687280655,34865.0,(0.00047842032760632864+0.0010104809358523232j),20.078770330332667,0.26825893004622287,135.99917763157896,-230,127,7,39,1,17,-5,8,-18,13,-3,2,-4,6,-6,-6,-4,-1
21,Blues,6.886852017697451,0.09850181639194489,31736.0,(0.00043094290239036796-0.0003629887273216979j),22.154408106732,0.24440864404182436,99.38401442307692,-264,138,11,48,14,20,3,1,-15,15,3,-1,1,6,0,-2,-3,0
22,Blues,8.470098254184057,0.1103244200348854,38800.0,(-0.0024829645692737135-0.0005560975231058931j),22.290297124176327,0.25107424958697805,99.38401442307692,-233,136,3,48,8,13,5,0,-13,16,5,-2,3,5,0,-1,-4,-2
23,Blues,7.142948341202236,0.09925614297389984,34770.0,(-1.4335848888903807e-05-0.0012504755582581329j),21.832939923441973,0.2475594469008409,95.703125,-227,137,-14,63,5,11,1,-1,-7,-2,-2,-9,-10,3,4,0,-2,-1
24,Blues,5.155067625014026,0.08397560566663742,31325.0,(-0.0011630283446435851-6.750463776820746e-05j),21.7259650407811,0.22205325904974793,103.359375,-274,130,-6,70,13,9,7,-1,0,-2,3,0,0,2,4,-1,-10,-6
25,Blues,5.66663523868291,0.08684835582971573,34257.0,(0.00072888895219658+0.0008589406996093665j),21.030231400439224,0.254572706581964,92.28515625,-249,131,0,66,17,4,6,1,1,-1,0,-3,-2,4,7,0,-2,-2
26,Blues,6.089781127884849,0.07456382364034653,34438.0,(-0.0003700532947840433+0.0017881134119830061j),21.97429464119826,0.23024242084078994,83.35433467741936,-284,108,9,51,18,7,8,2,0,2,4,-3,1,2,3,3,-4,0
27,Blues,5.822261774380549,0.0939379408955574,48022.0,(-0.0009126205685404639+0.000617359521069544j),23.025399134062422,0.22986423136919254,95.703125,-228,130,-23,70,1,7,0,1,-6,-9,-2,-4,0,0,-1,1,-6,-8
28,Blues,7.176012813543637,0.09625381976366043,31835.0,(0.0006545060805769172+0.0005218674774599519j),21.407568386525273,0.23653082832815325,103.359375,-248,139,-16,57,20,10,4,0,-7,-3,-2,-2,0,-2,2,-5,-12,-7
29,Blues,10.430262530505965,0.12058986723423004,35042.0,(0.004578111118643673-0.0012909642633165878j),26.455322190277556,0.2273251033019154,129.19921875,-233,101,17,23,2,25,-16,15,-22,4,-23,-6,-5,1,-5,-8,-11,-6
30,Blues,16.43639349354012,0.16645658016204834,26087.0,(0.0034820147246473337+0.0045050035199853105j),26.84368772652961,0.22721621333205716,143.5546875,-206,117,23,28,-1,18,-21,17,-25,2,-17,-8,-17,-8,-8,-15,-15,-9
31,Blues,13.385381398387599,0.1490056961774826,28463.0,(0.00033604545785940755-0.0006253761181466234j),27.93086441584838,0.21428015976442055,151.99908088235293,-221,110,18,30,3,22,-20,12,-26,-4,-26,-13,-12,-1,-7,-6,-14,-11
32,Blues,7.272688576626056,0.09942886233329773,26106.0,(0.0032741306084557776+0.0005002521289023424j),26.988943524511118,0.21142964218099572,123.046875,-288,105,18,23,5,25,-13,12,-11,1,-15,-6,-11,-2,-7,-15,-10,-10
33,Blues,10.239321148736087,0.13093557953834534,27823.0,(0.00204606378932925-0.002013067287437771j),27.165771619047316,0.21217144526732296,151.99908088235293,-238,108,34,30,0,27,-21,14,-24,-1,-28,-11,-16,-7,-12,-15,-13,-7
34,Blues,11.111353000869062,0.13265302777290344,30295.0,(-0.0013135938987017784+0.002693452188673557j),26.88259082241624,0.22833339053052076,129.19921875,-217,105,15,25,-1,30,-17,17,-27,4,-20,-10,-14,-5,-3,-6,-15,-6
35,Blues,17.083525472646905,0.16948024928569794,30103.0,(-0.0004934653691876248+0.002239059379315892j),26.87704855647512,0.24071893258723856,129.19921875,-171,120,15,21,-5,24,-24,18,-22,1,-20,-4,-17,-7,-15,-9,-8,-8
36,Blues,22.42346668764063,0.19366352260112762,24464.0,(-0.0034163276768729117+0.0013618440308984787j),27.36607897161179,0.21588213084313845,151.99908088235293,-200,116,18,25,0,24,-22,11,-26,-7,-24,-12,-17,-8,-11,-12,-14,-8
37,Blues,3.5946480052748067,0.06534736603498459,31932.0,(-0.00058276264628925-0.0025848337846772706j),26.615383665380417,0.22108213723639084,123.046875,-328,102,19,26,7,22,-6,12,-10,0,-12,-8,-9,-9,-8,-7,-7,-9
38,Blues,16.467044579831786,0.16461911797523499,29407.0,(-0.0026345266024787664+0.0008109289708259065j),27.195260742803693,0.22790539103669025,129.19921875,-192,111,21,26,0,23,-25,16,-16,5,-25,-5,-17,-7,-15,-12,-17,-7
39,Blues,5.118531345109594,0.08407992124557495,23406.0,(0.0007920083982110199+0.0018113182600310144j),26.368849304337125,0.20672278410284944,117.45383522727273,-301,111,21,16,8,22,-8,1,-17,-8,-17,-10,-15,-12,-12,-14,-10,-5
40,Blues,9.708697517368977,0.13160033524036407,64747.0,(-0.0010891119238003216-0.001197071631747497j),21.300212828784733,0.27324843293600615,117.45383522727273,-110,90,-2,74,-11,39,-13,20,-17,12,-21,5,-8,4,-16,6,-5,-3
41,Blues,8.984074035593167,0.1268630027770996,67763.0,(0.001109854336946174+0.0014023239604759362j),21.79298304405485,0.25748223298193534,129.19921875,-107,88,-4,55,-8,38,-6,28,-19,13,-19,12,-4,3,-16,11,-7,-3
42,Blues,6.574986574038711,0.10933629423379898,64829.0,(-0.0021156533607675177+0.002020751865119738j),23.42488479121242,0.2303534738108971,89.10290948275862,-159,69,-4,76,3,45,-4,32,-9,7,-21,9,-2,3,-14,10,-4,-5
43,Blues,8.981347086791478,0.12520265579223633,57782.0,(0.00036958033221253927-0.0003951745862139652j),20.799600345680947,0.26274771191054785,129.19921875,-109,100,-8,47,-6,39,-8,29,-16,13,-24,6,-8,4,-15,1,-6,1
44,Blues,9.749018474112857,0.1338156908750534,61300.0,(-0.00018414483977303262-0.0009164690224873627j),21.736179171654467,0.26342476240618823,135.99917763157896,-109,86,-8,64,-6,43,-8,28,-14,8,-21,11,-5,3,-12,12,0,0
45,Blues,11.624328105715849,0.14372608065605164,31848.0,(0.0011546210895901302+0.002327367349042195j),21.936153534025287,0.2709610579834348,129.19921875,-163,89,12,80,3,39,-5,26,-13,2,-20,6,-2,0,-17,4,-5,-7
46,Blues,5.871212887020576,0.09952837228775024,38758.0,(0.0014574648129998297+0.0007216586737627112j),21.420880474663903,0.24688433931361523,123.046875,-182,90,14,67,2,38,-8,24,-13,4,-16,5,-5,0,-14,6,-4,-2
47,Blues,6.719219373785786,0.11104346066713333,49913.0,(-0.0004408888983761284+0.0007385283354233245j),22.395970794955094,0.2344756348990265,151.99908088235293,-149,93,6,71,-8,36,-9,17,-21,0,-22,5,-7,-4,-12,9,-5,-3
48,Blues,8.332737106198556,0.12218506634235382,65444.0,(-0.0005826834549332459+0.002557795485405021j),21.612736884668454,0.25938774489666755,123.046875,-106,102,-20,59,-9,33,-14,23,-13,15,-18,7,-7,4,-11,2,-5,0
49,Blues,4.248634847025809,0.08761365711688995,26479.0,(2.2957282748095798e-05-0.0008967337056642521j),22.55510533007364,0.23039088523160817,123.046875,-256,110,21,67,4,43,-4,10,-8,1,-20,-2,-7,-11,-12,2,-8,-7
50,Blues,19.051406056396893,0.17672686278820038,56863.0,(0.0006123924949557991-0.0012070312782119818j),21.135632284254843,0.2722059147964987,135.99917763157896,-82,107,-25,57,0,34,-11,20,-11,14,-10,12,-9,2,-6,2,-8,0
51,Blues,20.667716174834094,0.19333253800868988,70639.0,(-0.0010972676728184202-0.0031011019414029935j),21.55830019226636,0.27338235770666264,99.38401442307692,-55,114,-37,64,-7,15,-16,18,-9,21,-5,12,-16,3,-7,8,-4,3
52,Blues,6.537786416730671,0.09547525644302368,44526.0,(-0.0009976927233432418+0.00027231843728891365j),22.66280811559836,0.23025624639230782,151.99908088235293,-225,117,-14,64,12,19,10,9,-2,11,1,3,-7,-8,-4,0,-2,-3
53,Blues,16.37813957062444,0.16308803856372833,88052.0,(-0.002385005730865048-0.0005541658173838136j),21.65813476448442,0.2696368347932521,103.359375,-76,105,-43,60,-8,21,-12,18,-11,14,-6,12,-9,1,-3,6,-4,0
54,Blues,22.49483522191703,0.1962684839963913,68535.0,(0.000954289887190793-0.0020532678194415416j),20.8828242166655,0.2731464682921179,92.28515625,-57,108,-36,64,1,26,-17,20,-9,18,-6,13,-11,4,-6,3,-8,-1
55,Blues,14.931597924306528,0.15138457715511322,74951.0,(0.0009261916126633258-0.0013844951482163996j),21.23123582867296,0.27386075216092665,135.99917763157896,-98,104,-35,60,-2,22,-7,19,-11,17,-5,12,-9,0,-4,6,-4,1
56,Blues,11.406557885192735,0.1340816169977188,50057.0,(-0.0008378381383420481+0.0008277422369711362j),23.36742663710485,0.23781795121271507,161.4990234375,-145,102,-12,57,2,26,-4,17,-7,15,-6,7,-10,-2,-6,2,-4,0
57,Blues,17.683084247757343,0.17071428894996643,59632.0,(0.001122360886415149-0.0012464265897260188j),21.256644318310055,0.2650441956672543,92.28515625,-92,115,-35,57,1,26,-14,22,-8,11,-5,7,-10,1,-4,0,-6,0
58,Blues,15.876857117709415,0.1568533480167389,69150.0,(0.0018626253773373594-0.00011983738009698299j),22.216845611415206,0.26503929033000945,107.666015625,-95,105,-26,60,-4,21,-13,12,-20,12,-5,10,-9,3,-10,3,-3,0
59,Blues,16.964950443790364,0.1622525453567505,94245.0,(4.390642393731485e-05-2.1861305983282243e-05j),21.913586279259114,0.27474205604990276,107.666015625,-86,91,-23,68,-3,22,-9,16,-11,18,-7,10,-11,0,-5,5,-6,1
60,Blues,21.49018619474267,0.19083473086357117,64562.0,(-0.003611615929140981+0.003975359180619662j),20.971264395588012,0.27312223868971264,151.99908088235293,-67,111,-34,61,0,30,-12,21,-13,16,-6,12,-12,1,-5,4,-6,1
61,Blues,10.595021918582049,0.13937224447727203,111011.0,(-0.004738681915775594+0.00012590461935646692j),22.27825653362569,0.2708816626825543,129.19921875,-82,94,-27,75,-27,35,-20,25,-15,11,-13,8,-8,8,-10,-3,-5,-2
62,Blues,6.226627543536559,0.10419312119483948,77661.0,(0.002142053551952729-0.0004265183274696231j),23.60791043563853,0.2524778596500023,112.34714673913044,-144,95,-21,49,-29,29,-18,17,-9,5,-9,6,-21,2,-9,-1,-9,5
63,Blues,5.629238270975834,0.09406673908233643,102353.0,(-0.00017561336721923712-0.0007451189305550189j),23.108857143346718,0.25280604568728365,92.28515625,-129,72,-7,49,-32,21,-27,14,-10,12,-17,7,-18,2,-14,4,-14,7
64,Blues,7.33679706943405,0.11591536551713943,97306.0,(0.0014256930703415848+0.001987793405725755j),22.134404309874625,0.2731947950034891,151.99908088235293,-85,88,-16,59,-35,14,-22,9,-14,11,-14,8,-19,6,-13,6,-13,3
65,Blues,5.595044680941297,0.09895354509353638,96948.0,(0.0008871618156664001+6.364439722395732e-06j),22.777632449306243,0.25671440291816117,107.666015625,-118,74,-19,46,-32,23,-26,17,-13,11,-17,7,-22,4,-12,5,-14,6
66,Blues,6.605322493822224,0.10851319134235382,80723.0,(-0.001088026090037005-0.0010416044078630665j),22.523367748152324,0.2662543916160192,161.4990234375,-116,97,-13,48,-22,27,-20,18,-14,8,-16,11,-13,9,-5,2,-9,6
67,Blues,8.816548700437197,0.12758852541446686,74677.0,(0.000680454353791469+0.0005589002576112477j),22.471587225481077,0.2646995341505464,161.4990234375,-95,101,-20,48,-30,20,-18,14,-12,13,-14,7,-19,2,-9,6,-11,8
68,Blues,5.942848141696621,0.10052523016929626,89535.0,(-0.0020790260681759023-0.0011639781691245782j),22.338843319224242,0.26927356810243885,161.4990234375,-113,88,-8,49,-34,15,-17,14,-11,15,-15,8,-18,5,-9,8,-9,5
69,Blues,7.443554089070433,0.11480606347322464,82923.0,(-0.00036866925980695385+0.00022812134770717817j),23.301780789441374,0.25292017749525886,123.046875,-121,96,-19,48,-38,24,-32,8,-17,6,-19,6,-19,0,-12,-4,-10,-2
70,Blues,6.330925163695169,0.10360319167375565,65186.0,(0.002109064277891501-0.0014450405619334447j),22.632169603062216,0.2618622172655362,143.5546875,-133,105,-22,41,-26,19,-26,19,-15,6,-10,6,-11,4,-6,1,-12,3
71,Blues,7.605130067242098,0.11901255697011948,89235.0,(-0.00043462247670420943+0.00047517329746333853j),22.581383067344312,0.2691185346556011,143.5546875,-89,93,-14,54,-33,19,-19,13,-13,14,-14,10,-18,6,-10,6,-10,3
72,Blues,5.754223729657011,0.10301343351602554,85597.0,(0.0004127667725059862+0.0018645770489547969j),23.47193673347247,0.24611074980518366,103.359375,-118,87,6,45,-38,20,-26,13,-17,5,-15,3,-27,3,-15,10,-12,2
73,Blues,37.338941998267295,0.25460392236709595,66632.0,(-0.0017491896166846432+0.0005255362948408588j),22.41277790479976,0.26354343801963626,99.38401442307692,-30,103,-19,56,-12,20,-17,16,-18,8,-11,11,-8,9,-3,4,-2,4
74,Blues,22.0648334801895,0.1917438805103302,80126.0,(0.0014929332740250584+0.00115943232700743j),22.212568077981015,0.26674197664884286,112.34714673913044,-55,87,-1,41,-5,27,-23,21,-18,12,-13,11,-3,7,-4,5,-6,5
75,Blues,22.979396524105496,0.18128690123558044,71883.0,(0.0052931539804219165-0.0005180237510920974j),21.082115786964707,0.2728319912811278,117.45383522727273,-86,92,-15,54,0,31,-14,23,-14,15,-7,12,-6,7,-5,7,-6,3
76,Blues,26.912730610586216,0.21471144258975983,90453.0,(-0.0033738681097296446+0.0026611638999102945j),23.455540817682266,0.23461532870997845,117.45383522727273,-52,74,-18,56,-3,31,-16,22,-12,27,-9,7,-10,6,-9,13,-9,3
77,Blues,32.877621743299734,0.23528215289115906,73923.0,(-0.0012901425616248612+0.00348406269019189j),21.400814065453016,0.2689117296026138,99.38401442307692,-28,104,-30,38,-8,30,-20,25,-12,16,-12,10,-10,6,-10,6,-10,0
78,Blues,35.500352682804724,0.24941284954547882,82054.0,(-3.895998522808362e-05-0.0033502395360374367j),20.97184139815126,0.2819979768624459,123.046875,-2,101,-33,41,-13,31,-21,24,-15,15,-14,12,-13,6,-9,5,-11,3
79,Blues,38.53767659262612,0.2660779058933258,82626.0,(-0.00040780839721141075+0.0033053454829802195j),21.785214263963894,0.2722939583911496,161.4990234375,-3,92,-25,45,-10,31,-18,28,-10,14,-14,14,-15,9,-14,2,-13,3
80,Blues,33.93875448947754,0.23542314767837524,62332.0,(-0.00012380976259350316-0.004601848700404458j),22.631847317291868,0.25805962165948026,117.45383522727273,-54,119,-34,37,-15,22,-14,18,-9,11,-11,11,-6,1,-5,0,-9,-2
81,Blues,34.29668927544761,0.2436698079109192,84361.0,(0.004835275940415965+0.002331646087171967j),22.664598279518625,0.2688655467768833,103.359375,-26,107,-46,40,-21,24,-18,15,-15,12,-15,14,-13,7,-6,0,-6,0
82,Blues,34.24864660765996,0.24690686166286469,69669.0,(-3.0501961807189405e-05+0.00045969462996486426j),22.54699313282137,0.26689110363885804,123.046875,-29,108,-25,38,-18,21,-25,22,-17,14,-12,5,-7,7,-11,7,-9,1
83,Blues,34.080665296811915,0.24188938736915588,78167.0,(0.0004683226085536414+0.0028953439884954637j),21.18615153814438,0.25073185917644836,135.99917763157896,-19,98,-24,49,-16,30,-18,27,-11,14,-8,11,-10,9,-5,9,-4,3
84,Blues,31.943854355415702,0.22824865579605103,75125.0,(0.002466390597571071-0.004697963273440288j),21.791904189440213,0.2692291021540768,112.34714673913044,-38,112,-31,38,-6,23,-18,23,-10,13,-14,13,-10,9,-5,7,-6,2
85,Blues,13.374888622473526,0.14760881662368774,39357.0,(0.002527685610547877+0.0032470609770808134j),24.039530130059536,0.23461996035605412,143.5546875,-180,131,0,43,14,25,-5,12,-13,-1,-7,2,0,1,-6,3,-8,3
86,Blues,9.86359883214391,0.12076421827077866,32354.0,(-0.0016674106084660562-0.0005395164623255201j),21.17042317474332,0.24663270337421475,123.046875,-212,139,9,35,12,20,-5,10,-8,8,0,2,-1,-1,-4,1,-9,-2
87,Blues,14.16663767958034,0.15493595600128174,33716.0,(-0.0017609028354210576-0.0008107463100383418j),22.670342931954927,0.23732946448028902,172.265625,-155,125,1,45,0,25,-10,15,-11,1,-6,0,-7,0,-7,3,-6,0
88,Blues,12.106869420652513,0.13805559277534485,21245.0,(-0.0012613507717736405+0.0021419197753068065j),20.584279699262094,0.2545864123350126,172.265625,-194,151,-1,39,16,18,-1,14,-11,2,-5,3,0,0,-8,-7,-8,-5
89,Blues,2.334900417925872,0.05089931562542915,17003.0,(-4.3612055154659155e-05-0.00031003990075670367j),20.915785590212284,0.22139658639727233,107.666015625,-346,139,24,22,18,11,9,6,-2,5,1,-2,3,0,-3,-2,-2,-4
90,Blues,9.998189319230182,0.12927059829235077,38549.0,(0.0005417428382839194+0.00034729960965517424j),22.56019621466103,0.23968463013843191,143.5546875,-177,115,9,54,7,28,-9,20,-15,6,-5,1,-5,5,0,5,-5,-2
91,Blues,5.714857635175419,0.0975600928068161,23894.0,(0.00044489055018054086-0.00011102743546834681j),20.94620723590639,0.23751295242017942,123.046875,-236,161,-1,27,9,20,0,13,0,10,-4,5,-3,0,-4,-2,-3,-3
92,Blues,2.8198945180203965,0.061261583119630814,21414.0,(0.0005313022363435235+0.0006177717857953568j),20.95603208684741,0.22608851979400932,83.35433467741936,-332,128,28,41,31,23,5,9,-3,3,0,0,1,-1,0,2,-3,-4
93,Blues,3.144654337880731,0.06481480598449707,14380.0,(-0.00020434618529894673+0.00011940202237889959j),21.41629803971666,0.21641019424647334,143.5546875,-350,169,31,16,28,19,7,10,4,2,3,1,-5,-5,0,-1,-3,0
94,Blues,12.928307179885946,0.1365739405155182,33708.0,(-0.0009879365164332473+0.004047622688285856j),22.89313195745781,0.22341113146609268,103.359375,-206,126,10,43,12,19,0,12,-4,4,-4,3,-1,-1,-7,1,-6,0
95,Blues,19.01144766033687,0.18385975062847137,37878.0,(0.00018863874043389828+0.0022038653535505115j),22.872266571931597,0.2487396701679835,135.99917763157896,-130,139,-1,39,-6,19,-11,27,-16,7,-1,1,-6,4,-1,0,-4,-5
96,Blues,1.791851514966601,0.05081517994403839,32005.0,(-0.00017316600129999555-2.613092410761477e-06j),23.636390051233693,0.2184301117951698,123.046875,-314,139,11,30,-7,14,-2,6,-6,2,-11,2,-11,-9,-15,-9,-5,1
97,Blues,21.645298904360093,0.1944815069437027,29564.0,(0.0005999837157011058+0.0005593714060914171j),21.97227551092939,0.24335115422031858,117.45383522727273,-148,145,-9,48,10,17,-2,16,-11,8,-8,3,0,0,-6,-3,-15,-5
98,Blues,8.923149837668241,0.12202794849872589,85119.0,(-0.0008440461843668863-0.0012665751281003164j),20.805798192056656,0.2712844775596881,123.046875,-90,100,-23,52,-20,31,-11,20,-10,17,-14,12,-11,2,-12,4,-11,1
99,Blues,8.381801638249106,0.10338055342435837,49540.0,(0.0004096412108601624-0.0005183299152062894j),20.400397411391893,0.25422591896761737,92.28515625,-177,136,-26,36,-18,20,-1,3,-5,5,-8,5,-10,-2,-6,-2,-5,-3
100,Classical,0.785446245092913,0.03577817231416702,65096.0,(0.00018025181729164973-4.873334953558882e-05j),23.383998947052593,0.24811948671532785,95.703125,-268,135,-34,25,-12,17,-9,5,-14,7,-3,8,-1,0,1,3,0,1
101,Classical,0.5623632464665929,0.030332554131746292,58181.0,(-2.0707300108312025e-05-7.80347284257499e-05j),25.198185164468306,0.22754462144194798,117.45383522727273,-324,133,-25,24,-11,17,-5,1,-10,0,-7,3,5,1,3,-3,-4,0
102,Classical,1.0818134737723237,0.043287064880132675,59685.0,(-0.0001989147924790194+9.952555475037418e-05j),22.8997258340808,0.24675429801858595,99.38401442307692,-235,141,-34,30,-16,23,-11,7,-19,4,-11,8,-1,4,1,3,-1,2
103,Classical,0.625965386750832,0.029208650812506676,72207.0,(-7.02070147669606e-05-6.275547883888424e-05j),25.674160450757974,0.2186043219622704,135.99917763157896,-326,127,-30,37,-5,20,-1,-4,-4,5,0,2,7,3,-2,1,0,0
104,Classical,1.0240494602850343,0.04184946417808533,74801.0,(-0.00016283987868659337-2.1370708921746925e-05j),25.02519825706619,0.24506714917202313,107.666015625,-259,118,-35,31,-16,10,-15,7,-5,8,-17,-1,-6,2,-2,4,-4,-4
105,Classical,1.2565815301866998,0.04271119460463524,49845.0,(-0.00021677917287856528-0.0008358407350899896j),22.310783408465287,0.24556531236684923,143.5546875,-264,138,-30,37,-7,6,-11,4,-9,5,-9,2,-4,-1,-2,2,3,4
106,Classical,0.7430886094849514,0.03299567475914955,48313.0,(-0.00026035576382769894+0.00036725400823570077j),24.39824248255069,0.23126739704207422,103.359375,-295,134,-22,40,-5,9,-11,6,-8,4,-9,4,1,5,5,2,-1,-2
107,Classical,1.253008380070925,0.0404614694416523,48462.0,(0.00035960627392659343-0.00033315098824666294j),22.874395727897948,0.227964529049261,107.666015625,-286,135,-24,36,-6,6,-8,3,-4,6,-4,1,-4,-3,0,5,3,2
108,Classical,0.8288336991356241,0.03368990123271942,52213.0,(0.00016041126968007401-0.0003888598911730099j),23.719781547246452,0.233349465799756,135.99917763157896,-292,127,-29,37,-9,5,-13,7,-7,6,-9,4,0,1,3,6,0,0
109,Classical,0.3923368830163945,0.023722078651189804,37272.0,(-0.0001552326348575916+4.473242350419759e-05j),24.077924313664443,0.22171477569471504,129.19921875,-356,139,-6,43,-8,11,-8,4,-8,8,-8,3,-1,0,-1,0,0,1
110,Classical,0.6552296801915354,0.029065260663628578,57151.0,(-0.0007075401027937895+0.0003998876311224784j),22.752997888436415,0.24563483336122116,103.359375,-314,128,-28,30,-8,7,-9,1,-8,6,-3,7,3,2,1,5,1,0
111,Classical,0.27633709265589024,0.021391678601503372,40291.0,(6.851010181083535e-05+7.406087775762604e-05j),23.259218142852628,0.22345638980515045,151.99908088235293,-385,177,-9,24,5,-4,-6,-6,-4,3,0,0,-3,-2,3,0,-1,0
112,Classical,0.8194332400315973,0.031215310096740723,43736.0,(9.341454945510714e-05+0.0004447271823131262j),24.16817922219185,0.2318189149040641,123.046875,-362,143,-19,30,1,0,-7,-3,-8,3,-4,3,4,3,6,6,3,0
113,Classical,0.8646500815481829,0.031318388879299164,53599.0,(-0.0002682647477539717+0.0003751800258490333j),23.552386931572673,0.2294862235167826,129.19921875,-343,140,-20,32,-3,2,-10,0,-5,7,-3,2,-3,-2,0,0,0,0
